customer_id,connection_number,broadband_plan,connection_type,speed_mbps,installation_date,status
CUST01502,BB00000001,Fiber 2499,Fiber,1000,2022-05-08,Active
CUST02587,BB00000002,Fiber 2499,Fiber,1000,2024-03-12,Inactive
CUST02654,BB00000003,Fiber 999,Fiber,200,2023-06-26,Inactive
CUST01056,BB00000004,Fiber 799,Fiber,150,2021-12-05,Suspended
CUST00706,BB00000005,Fiber 799,Fiber,150,2023-06-16,Suspended
CUST00107,BB00000006,Fiber 1499,Fiber,300,2025-09-25,Inactive
CUST00590,BB00000007,Fiber 999,Fiber,200,2023-09-08,Suspended
CUST02469,BB00000008,Fiber 1499,Fiber,300,2021-08-23,Active
CUST02414,BB00000009,Fiber 499,Fiber,40,2022-01-01,Suspended
CUST01601,BB00000010,Fiber 999,Fiber,200,2022-09-01,Suspended
CUST02465,BB00000011,Fiber 699,Fiber,100,2024-06-04,Suspended
CUST00229,BB00000012,Fiber 1499,Fiber,300,2024-01-20,Inactive
CUST00916,BB00000013,Fiber 999,Fiber,200,2025-10-29,Inactive
CUST00795,BB00000014,Fiber 999,Fiber,200,2022-11-01,Active
CUST03022,BB00000015,Fiber 799,Fiber,150,2022-10-28,Suspended
CUST03544,BB00000016,Fiber 2499,Fiber,1000,2024-11-11,Active
CUST01074,BB00000017,Fiber 499,Fiber,40,2026-03-13,Suspended
CUST03352,BB00000018,Fiber 1499,Fiber,300,2021-11-06,Active
CUST01745,BB00000019,Fiber 1499,Fiber,300,2025-11-01,Inactive
CUST01085,BB00000020,Fiber 1499,Fiber,300,2023-08-05,Suspended
CUST00927,BB00000021,Fiber 799,Fiber,150,2022-12-26,Inactive
CUST03050,BB00000022,Fiber 1499,Fiber,300,2026-02-28,Suspended
CUST01118,BB00000023,Fiber 699,Fiber,100,2022-02-08,Inactive
CUST00643,BB00000024,Fiber 799,Fiber,150,2024-07-04,Suspended
CUST04768,BB00000025,Fiber 999,Fiber,200,2023-05-09,Inactive
CUST00502,BB00000026,Fiber 799,Fiber,150,2025-07-17,Inactive
CUST04067,BB00000027,Fiber 1999,Fiber,500,2025-04-18,Suspended
CUST00334,BB00000028,Fiber 499,Fiber,40,2024-03-02,Inactive
CUST04685,BB00000029,Fiber 999,Fiber,200,2022-01-08,Inactive
CUST00487,BB00000030,Fiber 2499,Fiber,1000,2023-04-29,Active
