customer_id,request_id,complaint_category,complaint_description,complaint_date,status,resolution_notes,resolved_date
CUST00001,1,Recharge Failure,Porro ullam aliquam modi tempora tempora ut.,2025-07-17 19:46:10,Resolved,Cupiditate officiis explicabo voluptatum suscipit commodi sequi iste corrupti asperiores eum aspernatur.,2025-07-21 19:46:10
CUST00001,3,Fiber Issue,Reprehenderit nulla commodi mollitia ipsum maxime deleniti atque ipsum occaecati occaecati.,2025-04-22 11:28:48,Open,,
CUST00001,4,Plan Change,Enim assumenda odio quisquam porro illo numquam quasi voluptatem occaecati dolores.,2026-01-10 15:33:10,In Progress,,
CUST00002,5,Network Issue,Officiis molestiae dolorem distinctio sapiente placeat ut natus numquam velit repellat perferendis maiores.,2025-10-06 15:18:31,In Progress,,
CUST00004,9,Network Issue,Natus quae sequi doloremque reprehenderit omnis dolores eaque.,2024-09-05 02:00:22,In Progress,,
CUST00006,13,Recharge Failure,Fuga non expedita maxime adipisci aliquid blanditiis aspernatur ducimus reiciendis voluptatum.,2025-01-04 02:04:34,In Progress,,
CUST00006,14,Call Drop,Aperiam quos rem dignissimos id consequatur odio ut accusantium impedit ipsum dignissimos ipsam.,2025-08-19 22:35:32,Resolved,Voluptate similique placeat itaque sapiente beatae exercitationem in.,2025-08-24 22:35:32
CUST00006,15,Slow Internet,Quam dicta magni eum eos harum repudiandae voluptatem.,2025-04-11 10:10:57,In Progress,,
CUST00007,16,Slow Internet,Minus rem architecto adipisci sit inventore beatae autem recusandae omnis.,2025-06-28 15:16:33,Closed,Optio sint excepturi quasi itaque provident doloremque laboriosam.,2025-07-01 15:16:33
CUST00008,21,Billing Issue,Veritatis consequuntur officiis fugit sed cupiditate molestiae amet vitae quo nisi quasi atque hic.,2025-10-22 08:14:14,Open,,
CUST00009,22,Service Quality,Aliquid id deleniti sint fuga impedit sapiente totam.,2026-06-04 03:19:07,Open,,
CUST00009,23,Recharge Failure,Voluptates eaque minima neque vel cupiditate nostrum.,2025-03-16 06:23:01,In Progress,,
CUST00010,25,SIM Activation,Explicabo ratione possimus in deserunt deleniti rem.,2025-04-27 06:02:31,Closed,Dolor aperiam cum harum ducimus veritatis et adipisci eaque.,2025-05-04 06:02:31
CUST00010,26,Slow Internet,Vitae saepe maxime distinctio at facere tempore minima repellat fugit laboriosam.,2024-11-06 06:37:39,Resolved,Voluptates ex recusandae velit modi nam possimus perspiciatis corporis.,2024-11-12 06:37:39
