customer_id,sim_number,activation_date,activation_status,kyc_status,activated_by
CUST00001,89599803752303931102,2024-07-04 12:57:44,Failed,Pending,EMP108
CUST00002,89179582522299118400,2025-10-05 10:55:40,Activated,Verified,EMP102
CUST00003,89074346481868425637,2026-04-04 05:52:30,Failed,Rejected,EMP106
CUST00004,89805285096568651890,2024-07-08 00:51:12,Pending,Pending,EMP103
CUST00005,89232388776939980682,2026-05-19 04:21:18,Activated,Rejected,EMP107
CUST00006,89551709159316493780,2025-05-18 11:51:46,Failed,Pending,EMP106
CUST00007,89900894157221969381,2024-12-17 06:04:31,Failed,Rejected,EMP101
CUST00008,89025185823791858467,2026-04-25 07:58:52,Activated,Verified,EMP102
CUST00009,89217982507532081593,2025-04-19 02:06:22,Activated,Verified,EMP103
CUST00010,89013357465365205390,2025-07-12 12:21:17,Activated,Verified,EMP104
CUST00011,89580470928893059975,2024-09-12 13:52:06,Activated,Pending,EMP107
CUST00012,89121286982025420031,2025-12-28 09:38:04,Pending,Rejected,EMP106
CUST00013,89801561641318480328,2025-10-09 17:08:00,Pending,Rejected,EMP102
CUST00014,89427781084684251683,2026-03-11 04:13:16,Pending,Pending,EMP101
CUST00015,89465642324545419135,2025-09-26 12:20:29,Activated,Rejected,EMP101
CUST00016,89422726183284893599,2025-03-12 03:21:31,Activated,Verified,EMP108
CUST00017,89177114672657937218,2026-02-02 22:46:20,Failed,Pending,EMP107
CUST00018,89359508493646696017,2024-10-26 12:43:30,Failed,Verified,EMP102
CUST00019,89666223462979151430,2024-11-24 11:44:13,Activated,Rejected,EMP105
CUST00020,89788600939161786106,2024-10-10 15:08:10,Pending,Pending,EMP107
CUST00021,89416923812904214080,2026-05-03 12:25:13,Activated,Verified,EMP106
CUST00022,89838361281327480730,2024-07-18 15:15:10,Pending,Verified,EMP106
CUST00023,89374753435760540150,2025-12-10 10:30:19,Activated,Pending,EMP107
CUST00024,89943384194956378074,2025-10-28 13:26:03,Activated,Verified,EMP101
CUST00025,89986573179985147621,2026-01-29 15:28:41,Activated,Rejected,EMP105
CUST00026,89665161660193063603,2025-10-27 01:18:03,Activated,Rejected,EMP104
CUST00027,89210236899189277579,2024-09-03 10:11:15,Activated,Rejected,EMP103
CUST00028,89320991521595646092,2025-03-27 21:07:32,Activated,Verified,EMP105
CUST00029,89328228644141839466,2026-02-03 23:36:30,Activated,Rejected,EMP105
CUST00030,89418436064380932743,2025-12-27 01:24:09,Pending,Verified,EMP107
CUST00031,89340030830040989562,2025-10-04 03:57:41,Activated,Verified,EMP101
CUST00032,89455319055998188534,2025-10-21 11:54:05,Activated,Rejected,EMP104
CUST00033,89590072749591696084,2024-11-29 17:31:58,Activated,Rejected,EMP106
CUST00034,89440740522572591300,2026-02-14 03:35:31,Activated,Verified,EMP108
