customer_id,service_request_id,rating,feedback_comments,feedback_date
CUST00001,1,5,Engineer was professional.,2025-09-22 05:35:50
CUST00001,2,3,Internet speed is satisfactory.,2025-05-03 13:33:13
CUST00002,7,3,Frequent call drops.,2025-06-18 16:47:16
CUST00003,8,4,Engineer was professional.,2025-12-03 01:28:09
CUST00004,11,4,Frequent call drops.,2026-06-29 13:51:45
CUST00006,14,4,Internet speed is satisfactory.,2025-10-04 18:48:00
CUST00007,16,4,Very satisfied with the service.,2025-12-30 02:15:31
CUST00007,17,5,Internet speed is satisfactory.,2025-07-18 00:05:17
CUST00010,25,3,Billing issue resolved quickly.,2025-10-10 23:59:08
CUST00010,26,3,Frequent call drops.,2025-09-27 13:52:04
CUST00011,28,4,Need improvement in network quality.,2026-01-19 09:29:54
CUST00012,30,4,Installation completed on time.,2025-02-01 09:12:40
CUST00013,34,3,Need improvement in network quality.,2024-12-26 03:36:59
CUST00014,35,3,Customer support was helpful.,2025-12-13 17:08:26
CUST00014,36,5,Internet speed is satisfactory.,2026-01-18 18:44:15
CUST00014,37,5,Customer support was helpful.,2026-02-03 22:45:15
CUST00015,39,3,Frequent call drops.,2026-06-18 12:41:37
CUST00016,40,4,Excellent service.,2026-06-28 16:32:57
CUST00016,41,3,Installation completed on time.,2026-03-26 02:05:33
CUST00016,42,3,Customer support was helpful.,2026-06-23 15:06:40
CUST00018,44,4,Very satisfied with the service.,2026-02-09 02:02:22
CUST00018,45,3,Engineer was professional.,2025-02-23 05:27:57
CUST00023,50,3,Need improvement in network quality.,2025-10-24 23:45:55
CUST00025,53,3,Internet speed is satisfactory.,2026-01-03 22:00:52
CUST00025,54,3,Need improvement in network quality.,2025-06-05 02:47:47
CUST00025,55,5,Frequent call drops.,2026-06-09 06:05:55
CUST00026,56,5,Good network coverage.,2026-04-03 23:38:00
CUST00026,57,3,Internet speed is satisfactory.,2026-06-20 07:25:06
CUST00026,58,4,Engineer was professional.,2024-12-22 22:46:55
CUST00028,66,4,Billing issue resolved quickly.,2025-05-31 05:20:02
CUST00029,67,5,Engineer was professional.,2026-06-26 15:37:31
CUST00029,69,4,Frequent call drops.,2025-10-03 09:02:24
CUST00030,71,4,Frequent call drops.,2025-08-26 05:00:41
CUST00030,72,4,Very satisfied with the service.,2025-11-29 06:10:57
CUST00031,73,3,Very satisfied with the service.,2026-02-25 12:50:19
CUST00031,74,3,Good network coverage.,2026-06-08 07:47:24
CUST00032,75,3,Good network coverage.,2025-12-26 14:28:37
CUST00033,77,5,Good network coverage.,2025-12-26 11:42:53
CUST00033,78,3,Need improvement in network quality.,2026-03-26 09:03:45
CUST00034,81,3,Very satisfied with the service.,2026-04-06 22:14:03
CUST00035,82,4,Frequent call drops.,2026-06-26 22:10:45
CUST00035,83,4,Installation completed on time.,2026-06-28 15:44:29
CUST00037,85,5,Customer support was helpful.,2025-10-23 03:08:11
CUST00038,89,5,Installation completed on time.,2026-06-04 04:08:47
CUST00039,91,5,Installation completed on time.,2026-02-20 23:44:04
CUST00039,92,5,Billing issue resolved quickly.,2026-06-22 15:30:44
CUST00040,93,4,Good network coverage.,2025-11-09 07:19:56
CUST00040,94,4,Customer support was helpful.,2026-01-08 08:08:30
CUST00040,96,4,Very satisfied with the service.,2026-06-18 18:23:00
CUST00041,97,5,Engineer was professional.,2026-04-21 10:24:44
CUST00041,99,5,Very satisfied with the service.,2025-11-14 15:54:05
CUST00042,101,5,Good network coverage.,2025-11-25 06:51:06
CUST00042,102,3,Billing issue resolved quickly.,2026-06-22 04:24:23
CUST00043,105,5,Excellent service.,2025-10-26 04:09:08
CUST00045,109,3,Very satisfied with the service.,2026-04-25 20:58:40
CUST00048,112,4,Customer support was helpful.,2025-11-08 01:46:44
CUST00050,114,3,Installation completed on time.,2025-12-31 18:35:11
CUST00050,116,4,Need improvement in network quality.,2026-03-07 19:32:13
CUST00051,118,3,Billing issue resolved quickly.,2026-06-12 07:10:14
CUST00053,126,5,Excellent service.,2026-05-19 09:02:53
CUST00053,128,5,Very satisfied with the service.,2024-09-28 04:02:16
CUST00053,129,3,Frequent call drops.,2025-01-03 05:05:48
CUST00054,130,5,Need improvement in network quality.,2026-05-06 06:34:50
CUST00054,131,5,Excellent service.,2026-04-26 12:31:41
CUST00054,132,3,Customer support was helpful.,2025-11-21 22:33:06
CUST00054,133,4,Very satisfied with the service.,2026-05-15 14:48:57
CUST00055,134,5,Need improvement in network quality.,2025-07-07 02:33:42
CUST00055,135,4,Excellent service.,2026-06-15 06:04:37
CUST00055,137,5,Excellent service.,2025-08-01 03:04:48
CUST00057,141,4,Need improvement in network quality.,2025-12-13 23:11:05
CUST00057,142,4,Excellent service.,2026-06-18 02:44:01
CUST00057,143,3,Good network coverage.,2025-02-17 14:12:40
CUST00058,144,3,Billing issue resolved quickly.,2026-06-22 08:49:26
CUST00059,145,3,Need improvement in network quality.,2025-12-30 15:40:32
CUST00059,146,5,Internet speed is satisfactory.,2025-09-02 13:40:06
CUST00060,148,3,Frequent call drops.,2026-03-25 00:43:19
CUST00061,150,4,Billing issue resolved quickly.,2025-10-06 17:27:36
CUST00062,151,5,Customer support was helpful.,2026-06-16 17:54:42
CUST00065,158,4,Customer support was helpful.,2026-03-18 22:35:02
CUST00067,163,4,Very satisfied with the service.,2026-04-16 03:09:54
CUST00067,164,5,Internet speed is satisfactory.,2025-11-06 01:34:59
CUST00068,165,5,Frequent call drops.,2026-01-02 09:48:09
CUST00069,169,3,Need improvement in network quality.,2025-11-15 19:05:25
CUST00069,170,5,Customer support was helpful.,2025-08-26 01:37:33
CUST00071,172,5,Engineer was professional.,2026-06-23 21:50:25
CUST00073,174,3,Customer support was helpful.,2026-05-28 09:36:01
CUST00074,176,5,Installation completed on time.,2026-05-24 04:27:03
CUST00074,178,3,Good network coverage.,2026-05-21 03:56:19
CUST00075,180,4,Internet speed is satisfactory.,2026-06-15 10:35:47
CUST00076,181,5,Frequent call drops.,2025-05-27 17:06:27
CUST00076,182,4,Good network coverage.,2026-06-28 15:29:29
CUST00076,184,5,Installation completed on time.,2026-04-19 01:52:17
CUST00077,185,3,Frequent call drops.,2025-02-03 13:22:08
CUST00077,186,5,Engineer was professional.,2026-06-29 08:36:39
CUST00078,187,5,Good network coverage.,2026-02-01 17:41:41
CUST00078,189,5,Internet speed is satisfactory.,2026-04-09 04:32:52
CUST00079,191,3,Excellent service.,2026-06-02 18:17:38
CUST00079,192,5,Customer support was helpful.,2026-01-11 03:14:26
CUST00080,193,5,Installation completed on time.,2025-04-11 08:08:49
CUST00080,195,4,Billing issue resolved quickly.,2026-04-07 19:10:27
CUST00081,196,5,Installation completed on time.,2026-04-10 17:38:25
CUST00082,198,4,Billing issue resolved quickly.,2026-01-12 15:23:49
CUST00082,199,5,Engineer was professional.,2025-10-13 10:47:03
CUST00082,200,3,Very satisfied with the service.,2026-01-20 17:50:40
CUST00083,202,4,Engineer was professional.,2026-01-22 15:11:28
CUST00084,203,4,Frequent call drops.,2026-04-04 21:51:20
CUST00085,204,3,Internet speed is satisfactory.,2026-04-02 23:27:58
CUST00087,207,4,Engineer was professional.,2026-01-29 22:29:58
CUST00088,210,4,Very satisfied with the service.,2025-09-13 01:30:55
CUST00088,211,3,Engineer was professional.,2026-05-20 12:06:32
CUST00088,212,3,Very satisfied with the service.,2025-03-05 20:41:11
CUST00089,213,4,Internet speed is satisfactory.,2026-04-23 22:33:46
CUST00090,215,5,Internet speed is satisfactory.,2026-04-21 01:40:39
CUST00090,216,3,Installation completed on time.,2026-02-14 01:59:48
CUST00091,218,5,Need improvement in network quality.,2026-05-21 09:59:46
CUST00092,222,4,Customer support was helpful.,2025-08-14 09:41:41
CUST00092,223,3,Billing issue resolved quickly.,2025-03-27 09:54:57
CUST00093,225,5,Internet speed is satisfactory.,2025-12-15 16:36:28
CUST00094,226,5,Good network coverage.,2026-03-11 01:14:10
CUST00094,227,5,Frequent call drops.,2026-02-02 08:16:51
CUST00096,232,5,Need improvement in network quality.,2025-05-26 01:23:34
CUST00096,234,3,Engineer was professional.,2025-09-11 08:36:36
CUST00097,236,5,Customer support was helpful.,2026-01-20 14:51:08
CUST00098,240,3,Billing issue resolved quickly.,2026-01-26 08:48:25
CUST00098,241,3,Excellent service.,2026-05-14 19:51:15
CUST00099,242,4,Engineer was professional.,2025-12-21 12:43:38
CUST00101,244,5,Billing issue resolved quickly.,2025-03-12 03:47:20
CUST00101,245,3,Good network coverage.,2026-01-22 15:14:33
CUST00101,246,5,Excellent service.,2026-06-06 00:24:30
CUST00102,248,3,Billing issue resolved quickly.,2026-06-02 09:26:24
CUST00102,250,3,Need improvement in network quality.,2025-11-24 12:02:02
CUST00103,251,4,Customer support was helpful.,2025-08-19 00:38:39
CUST00103,252,5,Engineer was professional.,2026-01-30 03:19:31
CUST00105,257,4,Billing issue resolved quickly.,2026-03-25 17:34:46
CUST00107,260,4,Internet speed is satisfactory.,2026-03-20 20:39:52
CUST00107,262,5,Very satisfied with the service.,2026-05-14 11:04:52
CUST00107,263,4,Internet speed is satisfactory.,2025-05-13 14:43:16
CUST00109,266,5,Excellent service.,2025-08-11 12:32:19
CUST00109,267,5,Good network coverage.,2025-04-26 22:30:20
CUST00110,270,3,Internet speed is satisfactory.,2025-03-06 13:34:24
CUST00110,271,4,Good network coverage.,2026-05-07 14:51:09
CUST00112,273,4,Very satisfied with the service.,2026-06-05 11:56:46
CUST00113,277,3,Frequent call drops.,2026-01-01 23:12:53
CUST00113,278,4,Installation completed on time.,2026-04-12 18:19:11
CUST00113,279,5,Billing issue resolved quickly.,2025-09-20 08:31:06
CUST00114,280,3,Customer support was helpful.,2026-06-05 16:39:51
CUST00114,282,3,Engineer was professional.,2025-12-19 20:23:07
CUST00115,284,5,Frequent call drops.,2025-10-14 14:10:37
CUST00115,285,5,Internet speed is satisfactory.,2026-05-27 13:02:59
CUST00115,286,3,Need improvement in network quality.,2025-11-06 04:03:33
CUST00117,293,5,Billing issue resolved quickly.,2026-05-31 14:39:44
CUST00118,294,3,Internet speed is satisfactory.,2025-06-17 02:44:42
CUST00119,296,5,Excellent service.,2025-08-09 01:23:45
CUST00119,297,5,Billing issue resolved quickly.,2024-12-11 16:14:47
CUST00119,298,3,Billing issue resolved quickly.,2024-10-06 12:08:23
CUST00120,301,3,Frequent call drops.,2025-05-17 11:25:28
CUST00121,303,4,Frequent call drops.,2026-06-04 08:11:00
CUST00121,304,5,Customer support was helpful.,2026-01-10 18:13:36
CUST00121,305,5,Frequent call drops.,2025-12-30 10:50:11
CUST00122,306,3,Very satisfied with the service.,2025-10-17 20:37:26
CUST00123,311,4,Engineer was professional.,2026-01-28 08:41:23
CUST00124,314,3,Very satisfied with the service.,2026-03-30 04:24:12
CUST00129,323,4,Customer support was helpful.,2025-09-07 15:45:02
CUST00129,325,4,Billing issue resolved quickly.,2026-06-20 07:09:17
CUST00130,327,5,Need improvement in network quality.,2026-06-07 07:48:42
CUST00131,330,3,Excellent service.,2025-12-24 15:50:00
CUST00131,332,4,Excellent service.,2026-06-26 10:15:51
CUST00132,333,3,Internet speed is satisfactory.,2026-06-18 20:03:33
CUST00133,334,5,Customer support was helpful.,2025-03-18 11:00:05
CUST00135,337,3,Billing issue resolved quickly.,2026-04-02 15:29:20
CUST00135,338,3,Installation completed on time.,2025-10-12 03:09:28
CUST00136,340,5,Excellent service.,2024-10-27 22:09:11
CUST00136,341,4,Billing issue resolved quickly.,2025-07-01 09:10:35
CUST00136,342,3,Excellent service.,2026-05-20 14:50:28
CUST00137,345,3,Internet speed is satisfactory.,2025-08-24 01:05:28
CUST00137,346,4,Frequent call drops.,2026-01-30 11:57:42
CUST00138,347,5,Billing issue resolved quickly.,2025-10-25 23:30:27
CUST00139,350,5,Billing issue resolved quickly.,2026-03-18 03:39:16
CUST00140,352,3,Need improvement in network quality.,2026-02-26 14:23:50
CUST00140,353,3,Need improvement in network quality.,2025-06-12 09:54:00
CUST00141,354,3,Billing issue resolved quickly.,2026-03-25 19:47:52
CUST00142,357,3,Internet speed is satisfactory.,2026-02-11 06:27:38
CUST00142,358,4,Frequent call drops.,2025-03-14 13:08:10
CUST00142,359,4,Excellent service.,2026-06-14 14:09:06
CUST00143,362,4,Installation completed on time.,2025-12-08 11:00:53
CUST00144,363,5,Engineer was professional.,2026-06-28 01:55:41
CUST00144,364,3,Frequent call drops.,2026-05-24 12:27:03
CUST00144,366,3,Very satisfied with the service.,2025-03-20 06:49:05
CUST00145,367,4,Engineer was professional.,2026-02-23 07:19:09
CUST00147,372,5,Frequent call drops.,2026-04-07 02:00:27
CUST00148,375,4,Customer support was helpful.,2026-01-27 02:36:37
CUST00149,376,4,Billing issue resolved quickly.,2026-03-19 22:25:58
CUST00150,378,5,Excellent service.,2026-01-12 03:56:04
CUST00150,380,5,Installation completed on time.,2026-06-21 23:08:28
CUST00150,381,5,Installation completed on time.,2026-04-18 01:32:55
CUST00151,382,4,Frequent call drops.,2026-02-05 23:22:23
CUST00152,384,5,Installation completed on time.,2026-05-16 01:45:55
CUST00152,386,3,Installation completed on time.,2025-11-22 01:09:47
CUST00153,387,5,Internet speed is satisfactory.,2025-09-26 09:55:51
CUST00154,390,3,Need improvement in network quality.,2026-05-25 04:26:42
CUST00154,392,3,Customer support was helpful.,2026-01-24 00:22:33
CUST00155,395,3,Internet speed is satisfactory.,2026-05-05 00:27:49
CUST00156,396,4,Need improvement in network quality.,2025-04-03 05:50:26
CUST00156,397,4,Frequent call drops.,2026-04-03 12:08:03
CUST00157,401,3,Installation completed on time.,2026-02-13 06:51:54
CUST00158,405,5,Installation completed on time.,2026-02-22 09:45:49
CUST00159,408,4,Excellent service.,2026-04-17 02:15:31
CUST00159,409,4,Excellent service.,2026-06-05 20:50:50
CUST00159,410,4,Installation completed on time.,2026-06-17 10:53:22
CUST00161,416,5,Frequent call drops.,2026-06-17 13:08:57
CUST00162,418,4,Billing issue resolved quickly.,2025-12-16 11:19:38
CUST00162,420,4,Need improvement in network quality.,2026-06-24 15:33:57
CUST00164,427,4,Need improvement in network quality.,2026-05-17 07:20:50
CUST00165,428,5,Installation completed on time.,2025-10-31 17:52:00
CUST00165,429,3,Excellent service.,2026-03-04 03:52:03
CUST00165,430,5,Billing issue resolved quickly.,2025-06-05 23:53:05
CUST00167,433,3,Frequent call drops.,2025-08-03 02:58:57
CUST00167,434,3,Engineer was professional.,2026-05-07 02:44:59
CUST00167,435,4,Need improvement in network quality.,2025-10-02 06:34:15
CUST00168,437,5,Excellent service.,2026-04-06 23:36:40
CUST00168,438,4,Internet speed is satisfactory.,2025-12-17 06:08:47
CUST00168,439,3,Billing issue resolved quickly.,2026-02-24 00:01:39
