device_id,customer_id,device_type,brand,model,serial_number,purchase_date,warranty_expiry,device_status
DEV00001,CUST00913,Router,TP-Link,A328,SN53676189,2022-04-22,2029-04-07,In Stock
DEV00002,CUST00840,5G Router,Nokia,R132,SN91848582,2025-06-08,2028-07-13,In Use
DEV00003,CUST00768,WiFi Modem,D-Link,X674,SN26546080,2024-12-31,2029-01-02,In Stock
DEV00004,CUST04465,Set Top Box,D-Link,R703,SN30156088,2024-03-17,2027-08-19,Faulty
DEV00005,CUST00054,WiFi Modem,Airtel,N384,SN28801503,2022-01-05,2028-01-26,In Stock
DEV00006,CUST01764,Fiber ONT,Nokia,X489,SN63676504,2022-05-11,2029-02-15,In Use
DEV00007,CUST02941,Fiber ONT,TP-Link,X847,SN44235328,2024-11-08,2029-05-02,Returned
DEV00008,CUST04393,Router,Airtel,X665,SN73712634,2024-01-25,2027-01-07,Faulty
DEV00009,CUST02963,4G Dongle,D-Link,X146,SN28026270,2022-02-12,2028-02-25,In Stock
DEV00010,CUST02371,Router,D-Link,X489,SN66087165,2026-03-09,2028-10-11,Faulty
DEV00011,CUST03715,5G Router,Netgear,A479,SN02531226,2026-05-14,2028-06-25,Faulty
DEV00012,CUST01717,5G Router,TP-Link,X723,SN72781181,2023-08-09,2029-01-22,In Stock
DEV00013,CUST04376,5G Router,D-Link,A573,SN84788040,2021-10-25,2028-04-24,Returned
DEV00014,CUST02212,5G Router,D-Link,N963,SN54963020,2022-01-19,2027-08-18,In Use
DEV00015,CUST01877,Router,Netgear,R374,SN90011211,2026-06-01,2029-04-04,In Use
DEV00016,CUST01729,4G Dongle,Netgear,A771,SN74202831,2023-05-04,2028-09-30,Returned
DEV00017,CUST03242,5G Router,Jio,A371,SN09284364,2025-07-09,2029-02-06,In Stock
DEV00018,CUST02021,5G Router,TP-Link,R697,SN78509536,2023-12-04,2026-12-29,Returned
DEV00019,CUST02966,WiFi Modem,Huawei,R193,SN68673039,2024-09-14,2027-04-14,In Use
DEV00020,CUST00899,WiFi Modem,Huawei,R710,SN40855575,2021-07-29,2028-05-08,In Use
DEV00021,CUST03153,Set Top Box,Jio,N666,SN69774143,2022-08-01,2028-08-26,In Use
DEV00022,CUST00939,5G Router,TP-Link,N214,SN91288514,2023-06-04,2026-10-01,Faulty
DEV00023,CUST03562,WiFi Modem,Jio,X839,SN34668063,2022-11-18,2028-03-23,Faulty
DEV00024,CUST04101,WiFi Modem,Nokia,N961,SN64620555,2022-09-11,2028-11-28,Under Repair
DEV00025,CUST04989,WiFi Modem,Huawei,N880,SN10629343,2023-02-28,2026-11-29,In Stock
DEV00026,CUST04419,4G Dongle,Cisco,N600,SN39606760,2024-01-09,2029-06-26,In Use
DEV00027,CUST00917,Fiber ONT,TP-Link,A159,SN38307938,2024-08-08,2026-07-30,In Stock
