customer_id,request_type,request_date,status,priority,assigned_to,resolution_date
CUST00001,Plan Change,2025-07-17 19:46:10,Resolved,Medium,Rohit Rao,2025-07-20 19:46:10
CUST00001,Fiber Upgrade,2024-12-13 04:01:58,Resolved,Medium,Arjun Singh,2024-12-19 04:01:58
CUST00001,New Connection,2025-04-22 11:28:48,Open,Low,Rahul Sharma,
CUST00001,Fiber Upgrade,2026-01-10 15:33:10,In Progress,Critical,Sneha Patel,
CUST00002,SIM Activation,2025-10-06 15:18:31,In Progress,Medium,Arjun Singh,
CUST00002,New Connection,2025-03-12 14:38:54,Open,Medium,Neha Verma,
CUST00002,SIM Replacement,2024-11-12 22:35:18,Resolved,High,Rahul Sharma,2024-11-17 22:35:18
CUST00003,SIM Replacement,2025-09-16 03:27:53,Closed,Critical,Priya Reddy,2025-09-18 03:27:53
CUST00004,Address Update,2024-09-05 02:00:22,In Progress,Low,Neha Verma,
CUST00004,Bill Dispute,2026-05-05 00:50:15,Open,High,Neha Verma,
CUST00004,Service Cancellation,2026-06-29 10:53:39,Resolved,Medium,Neha Verma,2026-06-30 10:53:39
CUST00005,Fiber Upgrade,2026-01-03 02:22:30,In Progress,Critical,Kiran Das,
CUST00006,Broadband Installation,2025-01-04 02:04:34,In Progress,Medium,Sneha Patel,
CUST00006,Fiber Upgrade,2025-08-19 22:35:32,Resolved,Critical,Rahul Sharma,2025-08-29 22:35:32
CUST00006,Broadband Installation,2025-04-11 10:10:57,In Progress,High,Kiran Das,
CUST00007,SIM Activation,2025-06-28 15:16:33,Closed,Low,Sneha Patel,2025-06-30 15:16:33
CUST00007,SIM Replacement,2025-05-31 22:26:58,Closed,Low,Neha Verma,2025-06-09 22:26:58
CUST00007,SIM Replacement,2025-01-27 04:28:33,Open,Medium,Arjun Singh,
CUST00007,Address Update,2026-02-14 08:20:47,Open,Low,Amit Kumar,
CUST00008,Bill Dispute,2025-10-04 17:52:26,In Progress,Critical,Priya Reddy,
CUST00008,Network Issue,2025-10-22 08:14:14,Open,Low,Priya Reddy,
CUST00009,Fiber Upgrade,2026-06-04 03:19:07,Open,Critical,Amit Kumar,
CUST00009,Fiber Upgrade,2025-03-16 06:23:01,In Progress,High,Kiran Das,
CUST00009,New Connection,2024-08-28 02:22:44,Open,Medium,Neha Verma,
CUST00010,Service Cancellation,2025-04-27 06:02:31,Closed,Medium,Neha Verma,2025-04-29 06:02:31
CUST00010,SIM Activation,2024-11-06 06:37:39,Resolved,High,Arjun Singh,2024-11-11 06:37:39
CUST00010,Service Cancellation,2025-03-30 11:51:53,Open,Critical,Rohit Rao,
CUST00011,Service Cancellation,2025-06-30 17:31:34,Closed,High,Neha Verma,2025-07-01 17:31:34
CUST00011,Address Update,2025-03-13 21:15:53,Open,High,Neha Verma,
CUST00012,Service Cancellation,2024-10-14 09:04:18,Resolved,Medium,Arjun Singh,2024-10-16 09:04:18
